,word,score
10692,toeas,554
2928,stoae,554
8157,aloes,560
8635,aeons,565
11747,soare,576
2595,arose,576
6389,aeros,576
11639,serai,625
6656,aesir,625
4297,raise,625
2186,reais,625
7999,arise,625
1095,psoae,650
1825,paseo,650
10529,isnae,693
101,anise,693
2735,saine,693
10274,aisle,697
6022,saice,720
8810,years,722
7987,arsey,722
9840,ayres,722
1430,resay,722
4362,eyras,722
11306,sayer,722
1686,yeans,748
1245,sayne,748
7839,yates,749
12276,yeast,749
11374,ideas,758
5418,aside,758
6425,aides,758
5583,zoeas,761
12548,sepia,761
9251,paise,761
4879,aspie,761
12868,maise,767
8548,amies,767
9535,abies,768
2546,oaves,773
345,soave,773
4733,aegis,777
6581,urase,784
4463,aures,784
11511,ursae,784
4958,ureas,784
12812,saute,788
7960,aunes,796
11580,usnea,796
12368,oases,797
5320,osier,799
2121,yales,801
8482,lyase,801
5003,salue,806
881,yeahs,816
10003,kaies,820
5039,snare,823
3452,reans,823
8573,saner,823
3990,nears,823
1114,earns,823
985,nares,823
5059,reals,832
4078,rales,832
10599,arles,832
7269,lears,832
12673,laers,832
3229,earls,832
6825,seral,832
559,lares,832
920,laser,832
813,solei,835
5019,sauce,836
2802,cause,836
8869,neals,842
4478,slane,842
1728,lanes,842
9791,elans,842
10563,leans,842
4905,neats,850
4901,stane,850
7610,stean,850
7225,etnas,850
10911,antes,850
435,nates,850
6122,taser,857
1050,rates,857
4304,tares,857
10688,stear,857
4377,stare,857
1975,arets,857
569,tears,857
3157,strae,857
10303,aster,857
352,earst,857
2206,teras,857
3983,resat,857
3864,reast,857
1347,eosin,859
4205,noise,859
2403,aurei,861
1969,uraei,861
12448,tesla,865
8647,slate,865
6728,setal,865
1443,salet,865
6769,tales,865
2396,least,865
2757,leats,865
12044,stela,865
2127,teals,865
6839,stale,865
8838,taels,865
324,steal,865
297,hause,865
2067,dosai,883
7245,aidos,883
9051,adios,883
6277,iotas,887
3651,ostia,887
10951,stoai,887
8805,races,896
5655,carse,896
3774,serac,896
6332,scare,896
6907,scrae,896
11666,acers,896
10747,acres,896
4774,escar,896
2324,cares,896
9374,seiza,902
10304,canes,905
718,acnes,905
11310,scena,905
307,ajies,906
1175,samey,909
4289,toise,909
4529,ysame,909
11647,seamy,909
448,yeads,910
2573,sayed,910
2120,avise,911
5889,usage,913
6739,agues,913
4610,cesta,915
4814,abyes,915
319,bayes,915
4050,cates,915
1871,absey,915
3714,sceat,915
12473,caste,915
874,taces,915
4053,yages,916
5942,oater,919
10977,orate,919
6804,roate,919
1675,realo,920
10352,pause,921
1855,hanse,923
6552,ashen,923
12726,hears,937
533,shear,937
5373,rheas,937
1218,share,937
6800,hares,937
5469,oaten,939
987,atone,939
9136,alecs,941
11478,laces,941
10042,scale,941
4766,claes,941
8622,amuse,942
12245,beaus,945
11869,abuse,945
11849,alone,958
1003,anole,958
7872,sated,964
8437,tased,964
11111,stead,964
1108,dates,964
11186,teads,964
10448,tsade,964
9546,stade,964
8606,hales,968
3505,leash,968
6793,names,968
9909,nemas,968
12874,sheal,968
1277,shale,968
411,means,968
10666,mensa,968
4587,amens,968
2614,manse,968
8204,samen,968
9715,manes,968
10467,halse,968
8511,heals,968
4941,selah,968
6555,hoise,970
7734,spaer,971
8867,presa,971
8908,asper,971
3246,rapes,971
7139,parse,971
12274,prase,971
495,apers,971
10150,pears,971
12558,apres,971
12665,spear,971
9684,pares,971
9000,spare,971
6775,reaps,971
7316,cosie,976
4250,mares,977
450,smear,977
3496,reams,977
8522,marse,977
11173,maser,977
7315,soral,979
5026,orals,979
11583,solar,979
5949,rages,981
3886,agers,981
10426,segar,981
722,sarge,981
3215,sager,981
180,gears,981
8558,gares,981
803,napes,982
4452,panes,982
11893,spane,982
11953,neaps,982
5046,spean,982
10343,aspen,982
1330,peans,982
10090,sneap,982
2236,stage,985
10779,geats,985
7828,getas,985
5909,gates,985
4450,orles,986
5182,loser,986
9960,roles,986
5801,lores,986
5745,sorel,986
11370,eorls,986
11425,soler,986
2580,arsed,987
2229,rased,987
10792,eards,987
5793,sared,987
168,dares,987
11861,reads,987
3810,dears,987
10195,ukase,988
7047,satem,991
11816,tames,991
5591,mates,991
12654,teams,991
516,ohias,991
1695,meats,991
5317,steam,991
7603,deans,995
5398,saned,995
2470,sedan,995
2865,snead,995
5572,poise,998
859,tepas,1001
9009,speat,1001
12870,spate,1001
10299,pates,1001
9880,paste,1001
10462,peats,1001
9677,tapes,1001
12766,septa,1001
748,renos,1002
11261,noser,1002
5712,oners,1002
5601,snore,1002
7176,seron,1002
10137,senor,1002
1494,rones,1002
4518,banes,1003
4183,beans,1003
4008,nabes,1003
8600,basen,1003
7021,obias,1003
145,psoai,1005
768,dales,1007
8239,lades,1007
8895,abers,1007
580,leads,1007
10696,slade,1007
5468,lased,1007
1951,bares,1007
5452,saber,1007
5355,deals,1007
1546,braes,1007
150,sabre,1007
4055,baser,1007
6928,bears,1007
8633,abets,1010
3999,beast,1010
5186,tabes,1010
4986,betas,1010
2581,bates,1010
3497,besat,1010
3495,baste,1010
3378,beats,1010
12076,eidos,1013
12958,bosie,1014
1926,adieu,1014
11164,uraos,1015
3915,coate,1015
11982,agios,1017
6626,potae,1018
2437,noels,1019
6572,lenos,1019
7778,noles,1019
2624,enols,1019
11159,losen,1019
5016,heats,1020
9765,yores,1020
812,hates,1020
691,oyers,1020
11281,heast,1020
12471,ashet,1020
8925,haets,1020
1586,haste,1020
8640,lapse,1022
9054,spale,1022
4157,pales,1022
3225,speal,1022
11098,pleas,1022
10757,salep,1022
4212,sepal,1022
4393,leaps,1022
4480,pelas,1022
2918,peals,1022
4940,lames,1023
2936,meals,1023
7753,mesal,1023
3071,samel,1023
5273,males,1023
694,melas,1023
9355,leams,1023
1507,almes,1023
11864,atoke,1024
3530,euros,1027
1710,roues,1027
2292,rouse,1027
10009,leirs,1029
10469,cades,1029
10873,ecads,1029
8050,slier,1029
8082,daces,1029
1882,cased,1029
4303,riels,1029
5677,siler,1029
11806,geans,1029
11497,liers,1029
865,genas,1029
10756,riles,1029
4395,cages,1031
9293,geals,1033
12817,gales,1033
4254,sieur,1034
2571,haole,1038
8446,roans,1038
2122,arson,1038
3846,sonar,1038
4932,space,1041
4213,paces,1041
5252,scape,1041
12155,capes,1041
5988,ables,1046
458,blaes,1046
3569,sable,1046
1784,bales,1046
12495,blase,1046
11602,baels,1046
11201,beals,1046
7990,youse,1051
2170,togae,1052
5274,nosey,1055
3307,noyes,1055
5387,ocrea,1057
678,sorta,1062
5817,skear,1062
12748,roast,1062
1775,asker,1062
9146,ratos,1062
7652,rakes,1062
10204,saker,1062
3855,taros,1062
5865,reaks,1062
10594,kesar,1062
10736,toras,1062
4801,eskar,1062
2741,rotas,1062
2311,savey,1063
12696,teaks,1064
5073,steak,1064
8525,ketas,1064
7254,stake,1064
2830,askoi,1064
2699,skate,1064
2499,takes,1064
2873,eusol,1065
11000,louse,1065
12836,ousel,1065
10840,risen,1066
3529,reins,1066
3248,resin,1066
3499,morae,1066
634,serin,1066
777,rines,1066
10051,siren,1066
9542,rinse,1066
6437,emacs,1069
12314,cames,1069
1735,fanes,1069
1299,acmes,1069
3775,maces,1069
6803,lairs,1070
12494,liars,1070
6265,soyle,1070
4952,laris,1070
12482,rials,1070
4022,arils,1070
7844,liras,1070
552,rails,1070
10733,suave,1071
1188,ourie,1071
1957,uveas,1071
3716,pareo,1073
4731,porae,1073
7272,opera,1073
8411,safer,1074
4492,fares,1074
7898,fears,1074
3175,farse,1074
11321,jasey,1077
1617,auris,1079
9807,auloi,1081
11521,roads,1082
3169,sorda,1082
3878,sarod,1082
9345,dorsa,1082
12869,ouens,1083
2785,shade,1083
5547,heads,1083
9859,deash,1083
1513,ashed,1083
4851,hades,1083
4539,sadhe,1083
5180,olpae,1086
2124,amole,1086
4036,canoe,1088
8668,ocean,1088
5361,snake,1089
11078,skean,1089
2447,sneak,1089
6956,kanes,1089
10619,oaker,1091
12193,paeon,1092
10513,telos,1092
8473,lotes,1092
12337,toles,1092
8719,stole,1092
7456,chase,1093
10214,aches,1093
3745,eyass,1097
6501,heaps,1097
3134,ephas,1097
4506,shape,1097
1052,essay,1097
7904,phase,1097
12412,touse,1098
2353,festa,1099
3147,feast,1099
293,fates,1099
9771,fetas,1099
9992,feats,1099
1582,rotes,1100
9105,resto,1100
706,tores,1100
8272,roset,1100
3565,store,1100
12166,torse,1100
12962,estro,1100
